origen,detla_boric,delta_kast,delta_nulos,delta_blancos,delta_no,com_clust
noVoto_pv,0.06097027607402926,0.10403169235220013,0.0036994667402300016,0.0019178297539858176,0.8293807350795548,8301
boric_pv,1.0000000380352327,0.0,0.0,0.0,0.0,8301
kast_pv,0.0,1.0000000392313617,0.0,0.0,0.0,8301
provoste_pv,0.4372495823620949,0.5627504457690471,0.0,0.0,0.0,8301
artes_pv,0.4718857782797262,0.0599130735559208,0.03342399965029343,6.938454638321463e-6,0.4347702100594212,8301
meo_pv,0.40475084328830735,0.5952491795690182,0.0,0.0,0.0,8301
parisi_pv,0.4913466910079718,0.3224212410189879,0.017238118701408314,0.003486392921877841,0.1655075563497542,8301
sichel_pv,0.347219516215213,0.652780512102916,0.0,0.0,0.0,8301
nulos_pv,2.288064234741008e-9,1.0000000032127678,1.3888284820801182e-9,0.0,0.0,8301
blanco_pv,0.22255723663610133,0.7774421786594425,4.151183174474796e-7,1.7000575745046502e-7,0.0,8301
noVoto_pv,0.03956730346199784,0.1080175685052391,0.004175647279582851,0.0014514659991226708,0.8467880147540575,16
boric_pv,1.0000000398569155,0.0,0.0,0.0,0.0,16
kast_pv,0.0,1.0000000399311322,0.0,0.0,0.0,16
provoste_pv,0.8551430525527324,0.14485697703391148,0.0,0.0,0.0,16
artes_pv,1.000000035224657,0.0,0.0,0.0,0.0,16
meo_pv,1.0000000387251755,0.0,0.0,0.0,0.0,16
parisi_pv,0.7527126724674621,0.21030634217815128,0.02391670060936036,0.007746376704399736,0.00531790804062665,16
sichel_pv,0.3063617040525593,0.6936383254515992,0.0,0.0,0.0,16
nulos_pv,0.0,0.9688116594827751,0.031188350228682764,9.456451471166494e-10,0.0,16
blanco_pv,0.01822445023567877,0.32912697415664205,0.012273424042990847,0.022281605882540953,0.6180935456821474,16
noVoto_pv,0.04936580480458914,0.12174610458014118,0.003907789577929026,0.0021842075044514963,0.8227960935328892,2
boric_pv,1.0000000396902227,0.0,0.0,0.0,0.0,2
kast_pv,0.0,1.0000000398592495,0.0,0.0,0.0,2
provoste_pv,0.7989557729908628,0.19851497615525646,0.002529179962582084,7.955165777239444e-8,0.0,2
artes_pv,1.00000003072257,0.0,0.0,0.0,0.0,2
meo_pv,1.0000000381017426,0.0,0.0,0.0,0.0,2
parisi_pv,0.8322279411615503,0.0,0.005538613010391955,0.0,0.1622334595982328,2
sichel_pv,0.10589884508892651,0.8941011841840265,0.0,0.0,0.0,2
nulos_pv,0.11881663630465178,0.25791198317432906,0.19557961390415776,0.056920810201184044,0.3707709564156773,2
blanco_pv,0.0,0.013783604221865413,1.085660935068076e-8,2.9363940257737877e-8,0.9862163625048874,2
noVoto_pv,0.06939474376865698,0.0951891693586896,0.004182205342989217,0.0026731239705515626,0.8285607575591127,10
boric_pv,1.000000039749641,0.0,0.0,0.0,0.0,10
kast_pv,0.0,1.0000000398830609,0.0,0.0,0.0,10
provoste_pv,0.8857667825730096,0.1142332469263178,0.0,0.0,0.0,10
artes_pv,1.0000000304281913,0.0,0.0,0.0,0.0,10
meo_pv,1.0000000365118564,0.0,0.0,0.0,0.0,10
parisi_pv,0.3963348207037015,0.31300629629498905,0.013826008506712967,4.1853110704071494e-8,0.2768328326414858,10
sichel_pv,0.016823940087845962,0.9831760893277172,0.0,0.0,0.0,10
nulos_pv,0.0,1.0000000206525728,0.0,0.0,0.0,10
blanco_pv,2.1801373279079305e-8,0.999999994588703,0.0,0.0,0.0,10
noVoto_pv,0.061162047691657416,0.04249789134470939,0.003614681538355954,0.0016032920222797935,0.8911220874029975,2101
boric_pv,1.0000000394396578,0.0,0.0,0.0,0.0,2101
kast_pv,0.0,1.000000039083316,0.0,0.0,0.0,2101
provoste_pv,0.6786126118947533,0.32138741626723977,0.0,0.0,0.0,2101
artes_pv,1.0000000276107075,0.0,0.0,0.0,0.0,2101
meo_pv,0.8437034588291985,0.1562965688802933,0.0,0.0,0.0,2101
parisi_pv,0.6315033537560482,0.1768723434726867,0.019385511239885432,0.0030722440331570947,0.16916654749822269,2101
