origen,detla_boric,delta_kast,delta_nulos,delta_blancos,delta_no,distrito
noVoto_pv,0.05030419199496037,0.1134232515176221,0.0026796434531447897,0.0016473526176566716,0.831945560416616,21
boric_pv,1.0000000396014337,0.0,0.0,0.0,0.0,21
kast_pv,0.0,1.0000000398611595,0.0,0.0,0.0,21
provoste_pv,0.8499648940305771,0.15003513512726552,0.0,0.0,0.0,21
artes_pv,0.9210584279027697,0.007159774971890264,0.033587496203965964,3.765336296205966e-6,0.038190535585077845,21
meo_pv,0.7449618312266243,0.24071969011961317,0.014318474334204035,1.2313942380916388e-8,0.0,21
parisi_pv,0.5482796805288543,0.23362281471776247,0.015935939196568643,0.005412779983620892,0.19674878557319384,21
sichel_pv,0.0,1.0000000392050927,0.0,0.0,0.0,21
nulos_pv,0.6280387717464445,0.1455007635472366,0.18626430438375727,0.040196128235310095,3.2087251627966496e-8,21
blanco_pv,0.48433857135662106,0.49266144919067345,0.008843481217036955,0.014156504953899595,0.0,21
noVoto_pv,0.0903013521195437,0.02206546716067853,0.002605963325608612,0.0015005274021414746,0.8835266899920277,3
boric_pv,1.0000000398135755,0.0,0.0,0.0,0.0,3
kast_pv,0.0,1.0000000395416577,0.0,0.0,0.0,3
provoste_pv,0.7365136658188963,0.26348636329192515,0.0,0.0,0.0,3
artes_pv,1.0000000359081664,0.0,0.0,0.0,0.0,3
meo_pv,0.7530432635510655,0.24695676518181728,0.0,0.0,0.0,3
parisi_pv,0.44214146803799953,0.25941450102299246,0.022851967792420186,0.002807282903621483,0.27278478024296626,3
sichel_pv,0.2314303087058796,0.7685697205062983,0.0,0.0,0.0,3
nulos_pv,0.42431086183693245,0.12165192659460376,0.03722753779181895,0.004320674899385474,0.4124889988772594,3
blanco_pv,0.3946353482360658,0.17759027621528156,0.4277741412928264,2.327224547065791e-7,1.5333715194835903e-9,3
noVoto_pv,0.06975725786011189,0.09450255339141732,0.008121107006157575,0.002732447096665885,0.8248866346456474,20
boric_pv,1.0000000398361961,0.0,0.0,0.0,0.0,20
kast_pv,0.0,1.0000000397908164,0.0,0.0,0.0,20
provoste_pv,0.7640762699090956,0.23592375947332292,0.0,0.0,0.0,20
artes_pv,1.0000000365293182,0.0,0.0,0.0,0.0,20
meo_pv,0.7358665294952289,0.26413349881419157,0.0,0.0,0.0,20
parisi_pv,0.7834530544372477,0.2091250097442179,0.00742195376674496,0.0,0.0,20
sichel_pv,0.2938508108656505,0.706149218545362,0.0,0.0,0.0,20
nulos_pv,0.5391364705224211,0.39832253122920896,0.06254100674095021,0.0,0.0,20
blanco_pv,0.10168230159122882,0.8229614154979449,0.004390313697613416,0.07096597110036934,0.0,20
noVoto_pv,0.04374455038302211,0.05847318285276494,0.004113950154593584,0.0015039996145718038,0.8921643169950475,2
boric_pv,1.0000000394422326,0.0,0.0,0.0,0.0,2
kast_pv,0.01469744964748543,0.9853025799017116,0.0,0.0,0.0,2
provoste_pv,0.7709533172449007,0.22904670932502885,0.0,0.0,0.0,2
artes_pv,1.0000000308916976,0.0,0.0,0.0,0.0,2
meo_pv,0.842687284299532,0.1573127424580119,0.0,0.0,0.0,2
parisi_pv,0.3320694007417161,0.2767572557799995,0.014387988148404805,0.0029406381666878126,0.37384471716319195,2
sichel_pv,0.42308219460399427,0.5769178341018658,0.0,0.0,0.0,2
nulos_pv,0.43477936281194157,0.5276772350699929,0.03754337222047744,3.292264730940483e-8,0.0,2
blanco_pv,0.07921182908979271,0.13684193069635087,0.0037301527954876146,0.0007104606925719645,0.7795056267257968,2
noVoto_pv,0.040111182352728016,0.08833629654074322,0.005157342035912323,0.0019438732024665414,0.8644513058681499,22
boric_pv,1.0000000390116113,0.0,0.0,0.0,0.0,22
kast_pv,0.0,1.0000000396821704,0.0,0.0,0.0,22
provoste_pv,0.6872812409116252,0.3127187870286331,0.0,0.0,0.0,22
artes_pv,1.0000000273273155,0.0,0.0,0.0,0.0,22
meo_pv,0.892833651501761,0.10716637536852859,0.0,0.0,0.0,22
parisi_pv,0.6576757510664387,0.3423242765791988,0.0,0.0,0.0,22
sichel_pv,0.0,1.0000000371807687,0.0,0.0,0.0,22
nulos_pv,0.2924612881024625,0.5993850550449299,0.10815363433556863,2.7456564037425872e-8,0.0,22
blanco_pv,0.38727184867253417,0.49670800230842665,0.040198360279903145,0.0758217891932891,0.0,22
noVoto_pv,0.046352807745232365,0.08383233299112268,0.00846487210905309,0.002424744137193627,0.8589252430173984,23
boric_pv,1.0000000397584916,0.0,0.0,0.0,0.0,23
kast_pv,0.0,1.0000000397691637,0.0,0.0,0.0,23
provoste_pv,0.6732817173843563,0.32671831200263796,0.0,0.0,0.0,23
artes_pv,1.0000000342346855,0.0,0.0,0.0,0.0,23
meo_pv,0.8545194228053675,0.14548060600740495,0.0,0.0,0.0,23
parisi_pv,0.7466421657817105,0.2533578636463513,0.0,0.0,0.0,23
sichel_pv,0.18770932047776903,0.8122907088470821,0.0,0.0,0.0,23
nulos_pv,0.1634917172601189,0.15871662299535344,0.013284081893963134,0.022740989755769884,0.6417665880947947,23
blanco_pv,7.644472261825143e-7,0.9999992492970383,0.0,0.0,0.0,23
noVoto_pv,0.05542853053764948,0.07791213132121415,0.006373778835461653,0.002885659506486942,0.8573998997991878,25
boric_pv,1.0000000393111836,0.0,0.0,0.0,0.0,25
kast_pv,0.0,1.0000000395999291,0.0,0.0,0.0,25
provoste_pv,0.7248112955970363,0.26418381226064197,0.010083216310542847,0.0009216829052544281,0.0,25
artes_pv,1.00000002444527,0.0,0.0,0.0,0.0,25
meo_pv,0.8833272707069711,0.11667275208536347,0.0,0.0,0.0,25
parisi_pv,0.7777541697686099,0.22224585824094742,0.0,0.0,0.0,25
sichel_pv,0.2640648521824279,0.7359351731931193,0.0,0.0,0.0,25
nulos_pv,0.7183648446597078,0.24992417552530205,0.0317109388789258,4.1135926980323086e-8,0.0,25
blanco_pv,0.0,1.0000000172187316,0.0,0.0,0.0,25
noVoto_pv,0.05106625260877455,0.0710354623691022,0.005287886442688227,0.0021972178754951703,0.8704131807039398,26
boric_pv,1.00000003973464,0.0,0.0,0.0,0.0,26
kast_pv,0.0,1.0000000396610764,0.0,0.0,0.0,26
provoste_pv,0.8694950937062264,0.1305049340468385,0.0,0.0,0.0,26
artes_pv,1.0000000345656617,0.0,0.0,0.0,0.0,26
meo_pv,0.8206556369835645,0.179344389529428,0.0,0.0,0.0,26
parisi_pv,0.778057214732857,0.22194280854464937,0.0,0.0,0.0,26
sichel_pv,0.1360925406931553,0.8639074873885833,0.0,0.0,0.0,26
nulos_pv,0.2534734344179218,0.4865835190056544,0.1722158798601046,0.08772704898532682,1.177309924114915e-7,26
blanco_pv,0.0,0.9999999786177424,0.0,6.095416176455309e-9,2.3299495395796286e-8,26
noVoto_pv,0.07359354613084063,0.04814508997011617,0.0006988705130635337,0.0016383295997068228,0.8759241637862729,4
boric_pv,1.0000000386487202,0.0,0.0,0.0,0.0,4
kast_pv,0.0,1.0000000386497594,0.0,0.0,0.0,4
provoste_pv,0.7330573085086842,0.1345621938017385,0.0065461556338399654,0.000708364996900391,0.12512597705883702,4
artes_pv,0.6816728199062922,4.374652321840311e-8,0.02124295341748289,0.0088948581136665,0.28818932481603526,4
meo_pv,0.8262965092521922,0.1737035161247536,0.0,0.0,0.0,4
